198.235.24.70 - - [10/Nov/2025:03:20:06 +0000] "GET / HTTP/1.1" 200 625 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
127.0.0.1 - - [10/Nov/2025:04:06:08 +0000] "GET /.git/config HTTP/1.1" 200 625 "-" "python-httpx/0.28.1"
127.0.0.1 - - [10/Nov/2025:04:06:08 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124"
127.0.0.1 - - [10/Nov/2025:04:06:08 +0000] "GET /assets/index-DkxyLGk1.js HTTP/1.1" 200 501020 "-" "python-httpx/0.28.1"
127.0.0.1 - - [10/Nov/2025:04:32:04 +0000] "GET /.git/config HTTP/1.1" 200 625 "-" "python-httpx/0.28.1"
127.0.0.1 - - [10/Nov/2025:04:32:05 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124"
127.0.0.1 - - [10/Nov/2025:04:32:06 +0000] "GET /assets/index-DkxyLGk1.js HTTP/1.1" 200 501020 "-" "python-httpx/0.28.1"
139.144.52.241 - - [10/Nov/2025:04:42:23 +0000] "GET / HTTP/1.0" 200 625 "-" "-"
139.144.52.241 - - [10/Nov/2025:04:42:24 +0000] "GET / HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:24 +0000] "POST /sdk HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:24 +0000] "GET /health HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:24 +0000] "GET / HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:24 +0000] "GET /human.aspx?arg12=infotech HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:24 +0000] "GET /api/v2/about HTTP/1.1" 404 204 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:24 +0000] "GET /dana-na/nc/nc_gina_ver.txt HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:24 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:24 +0000] "GET /.git/HEAD HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /dniapi/userInfos HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /geoserver/ HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /user HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /Portal0000.htm HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /+CSCOE+/logon.html HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /Account/Login HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /Portal/Portal.mwsl HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /__Additional HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /xml/info.xml HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /magento_version HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /docs/cplugError.html/ HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:25 +0000] "GET /api/v1/check-version HTTP/1.1" 404 220 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:26 +0000] "GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:26 +0000] "GET /CSS/Miniweb.css HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:26 +0000] "GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:26 +0000] "GET /helpdesk/WebObjects/Helpdesk.woa HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:26 +0000] "GET /cluster/list.query HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:26 +0000] "HEAD / HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:26 +0000] "GET /start.aspx HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:26 +0000] "GET /apps/zxtm/login.cgi HTTP/1.1" 200 625 "-" "curl/7.54.0"
